ID,名称,地址,交通,筑龄,楼层,房型,面积,房租,管理费,押金,礼金,来源
1,ファステート名古屋駅前アルティス,愛知県名古屋市中村区名駅南1,"近鉄名古屋駅4分/名古屋駅6分/国際センター駅7分",築2年,15阶RC,1K,26.66m²,71900,10000,无,81900,SUUMO
2,T's Dream,愛知県名古屋市中村区則武1,"名古屋駅4分/名鉄名古屋駅4分",築26年,8阶铁骨,1K,24.9m²,54000,5000,无,无,Yahoo
3,プレサンス名古屋駅前ヴェルロード,愛知県名古屋市中村区名駅3,"名古屋駅5分/国際センター駅1分",築21年,13阶SRC,1K,20.8-25.55m²,58900-60800,10120-12220,无,58900-73000,SUUMO
4,ルミナス名駅,愛知県名古屋市中村区名駅5,"近鉄名古屋駅5分/国際センター駅3分",築26年,9阶RC,1K,24.85m²,59000,6000,无,无,Yahoo
5,S－RESIDENCE名駅,愛知県名古屋市西区那古野2,"名古屋駅7分/国際センター駅5分",築6年,9阶RC,1K,22.47-25.92m²,75000,7000,无,无,Yahoo
6,朝日プラザ名古屋ターミナルスクエア,愛知県名古屋市中村区則武2,"名古屋駅7分/太閤通駅6分",築35年,12阶SRC,ワンルーム,17.28-21.89m²,36000-38000,5000-6000,无,无,Yahoo
7,シャルマンソワレ名駅,愛知県名古屋市西区那古野2,名古屋駅9分,築7年,12阶RC,1K,28.82m²,70500,6500,无,70500,Yahoo
8,賃貸マンションディアレイシャス浅間町,愛知県名古屋市西区幅下2,"浅間町駅6分/丸の内駅10分",築5年,15阶RC,1K,26.22m²,64500-68500,8000,无,32550-68500,CHINTAI
9,賃貸マンションプランドール名駅,愛知県名古屋市西区那古野2,"国際センター駅5分/名古屋駅8分",築17年,8阶RC,1K,24.82m²,62000-63000,6000,无,63000,CHINTAI
10,賃貸マンションメゾンドガスパール名駅,愛知県名古屋市中村区則武2,名古屋駅9分,築14年,5阶RC,1K,28.6m²,63000-67000,7000,1个月,无,CHINTAI
11,プレサンス名古屋STATIONルミアス,愛知県名古屋市中村区名駅南1,"名古屋駅8分/伏見駅8分/国際センター駅12分",築11年,11阶RC,1K,22.91m²,56700,9360,无,66000,SUUMO
12,Ｚ・Ｒ名駅,愛知県名古屋市西区名駅2,"名古屋駅8分/亀島駅9分/国際センター駅10分",築10年,10阶RC,1K,26.09m²,66000-70000,7000,无,66000-70000,SUUMO
13,エルスタンザ名駅西,愛知県西安市中村区亀島2,"名古屋駅10分",築10年,11阶RC,1K,28.49m²,69000-77000,7000,无,无,SUUMO
14,プレサンス名古屋ルーカス,愛知県青岛市西区那古野2,"名古屋駅9分/国際センター駅9分",築1年,15阶RC,1K,22.42m²,69200,6840,无,76000,SUUMO
15,CASA+α名駅南,愛知県青岛市中村区名駅南4,"名古屋駅8分/ささしまライブ駅10分",築15年,11阶RC,1K,23.55-33.36m²,58000-74000,6000,无,无,SUUMO
16,Ｓ－ＲＥＳＩＤＥＮＣＥ名駅,愛知県神戸市西区那古野2,"国際センター駅5分/名古屋駅8分",築6年,9阶RC,1K,22.47-26.98m²,69000-75000,7000,无,无,SUUMO
17,NISSYO BUILDING,愛知県名古屋市中村区名駅南2,"名古屋駅10分/国際センター駅11分",築4年,10阶RC,1K,28.33-28.93m²,73000-81000,7000,73000,无,SUUMO
18,OKBアヴェニール菊井町,愛知県名古屋市西区那古野2,"国際センター駅10分/浅間町駅9分",築7年,14阶RC,1K,29.62-29.76m²,68000-78000,7000,68000-78000,68000-156000,SUUMO
19,UURコート名古屋名駅,愛知県名古屋市西区名駅2,"名古屋駅7分/亀島駅10分",築18年,15阶RC,1K,24.45m²,59000-62000,6500,无,29500-31000,SUUMO
20,ストーンブリッジ名駅,愛知県名古屋市中村区名駅南1,"名古屋駅7分/伏見駅11分",築18年,9阶RC,1K,27.51m²,60000-61000,6900,无,80000,SUUMO
21,クレヴィスタ名駅南,愛知県名古屋市中村区名駅南2,"名古屋駅7-9分",築1年,14阶RC,1K,26.27m²,71100-71600,10000,无,无,SUUMO
