ID,名称,地址,交通,筑龄,楼层,房型,面积,房租,管理费,押金,礼金,来源
1,ファステート名古屋駅前アルティス,愛知県名古屋市中村区名駅南1,"近鉄名古屋駅4分/名古屋駅6分/国際センター駅7分",築2年,15阶RC,1K,26.66m²,71900,100000,无,81900,Yahoo
2,T's Dream,愛知県名古屋市中村区則武1,"名古屋駅4分/名鉄名古屋駅4分",築26年,8阶铁骨,1K,24.9m²,54000,5000,无,无,Yahoo
3,プレサンス名古屋駅前ヴェルロード,愛知県名古屋市中村区名駅3,"名古屋駅5分/国際センター駅1分",築21年,13阶SRC,1K,20.8-25.55m²,58900-60800,10120-12220,无,58900-73000,Yahoo
4,ルミナス名駅,愛知県名古屋市中村区名駅5,"近鉄名古屋駅5分/国際センター駅3分",築26年,9阶RC,1K,24.85m²,59000,6000,无,无,Yahoo
5,S－RESIDENCE名駅,愛知県名古屋市西区那古野2,"名古屋駅7分/国際センター駅5分",築6年,9阶RC,1K,22.47-25.92m²,75000,7000,无,无,Yahoo
6,朝日プラザ名古屋ターミナルスクエア,愛知県名古屋市中村区則武2,"名古屋駅7分/太閤通駅6分",築35年,12阶SRC,ワンルーム,17.28-21.89m²,36000-38000,5000-6000,无,无,Yahoo
7,シャルマンソワレ名駅,愛知県名古屋市西区那古野2,名古屋駅9分,築7年,12阶RC,1K,28.82m²,70500,6500,无,70500,Yahoo
8,賃貸マンションディアレイシャス浅間町,愛知県名古屋市西区幅下2,"浅間町駅6分/丸の内駅10分",築5年,15阶RC,1K,26.22m²,64500-68500,8000,无,32550-68500,CHINTAI
9,賃貸マンションプランドール名駅,愛知県名古屋市西区那古野2,"国際センター駅5分/名古屋駅8分",築17年,8阶RC,1K,24.82m²,62000-63000,6000,无,63000,CHINTAI
10,賃貸マンションメゾンドガスパール名駅,愛知県名古屋市中村区則武2,名古屋駅9分,築14年,5阶RC,1K,28.6m²,63000-67000,7000,1个月,无,CHINTAI
