ID,来源,房源ID,类型,标题,价格(日元),价格显示,地址,面积(㎡),房型,楼层,建筑类型,建造年份,总楼层,最近车站,步行分钟,联系人,电话,详情链接,爬取时间
6,suumo,test002,rent,名古屋市東区 今池駅徒歩3分 1K,65000,6.5万円,愛知県名古屋市東区東桜1-2-3,22.00,1K,2階,アパート,1990,2,今池駅,3,サuumo不動産,0120-123-456,https://suumo.jp/test002,2026-03-03 09:30:42
7,homes,test003,rent,名古屋市中村区 名古屋駅徒歩7分 2LDK,120000,12万円,愛知県名古屋市中村区名駅1-2-3,48.00,2LDK,5階,マンション,2010,15,名古屋駅,7,HOMES不動産,0120-789-012,https://homes.co.jp/test003,2026-03-03 09:30:42
8,athome,test004,sale,名古屋市西区 新 houses,29800000,2980万円,愛知県名古屋市西区則武新町1-2-3,85.00,3LDK,1階,一戸建て,2020,2,押切町駅,10,at-home不動産,0120-345-678,https://at-home.co.jp/test004,2026-03-03 09:30:42
5,suumo,test001,rent,名古屋市中区 名古屋駅徒歩5分 1LDK,85000,8.5万円,愛知県名古屋市中区栄1-1-1,35.50,1LDK,3階,マンション,2015,10,名古屋駅,5,サuumo不動産,0120-123-456,https://suumo.jp/test001,2026-03-03 09:30:42
200,homes,ca0ddbb82f29bfa3ed47f48c2e5bc0b1425d569e,rent,URアーバンドゥエル平針（3階/3LDK/70.98m²）,530000,53万円,愛知県名古屋市天白区平針1丁目,70.98,3LDK,3,,1987,0,"""><div><p>名古屋市営鶴舞線 原駅",9,,,https://www.homes.co.jp/chintai/room/ca0ddbb82f29bfa3ed47f48c2e5bc0b1425d569e/,0001-01-01 00:00:00
15,homes,b36a1090256beeab90ccff5353511713c8d4df98,rent,Property 7,50000,5万円,,0.00,3D,2,,0,0,,0,,,https://www.homes.co.jp/chintai/room/b36a1090256beeab90ccff5353511713c8d4df98/,0001-01-01 00:00:00
201,homes,0002480441eeb382ea795eeae1339bb176b022a6,rent,BLACEDENT杁中（5階/1K/16.08m²）,80000,8万円,愛知県名古屋市昭和区花見通３丁目,16.08,1K,5,,1989,0,"detail-main-screen:rounded-b-md""><span class=""block truncate"" data-clarity-mask=""true"">重量感のある外観です。駅",4,,,https://www.homes.co.jp/chintai/room/0002480441eeb382ea795eeae1339bb176b022a6/,0001-01-01 00:00:00
202,homes,a1cf47a8cfdfbc0c347fb30d1c996156dba059bf,rent,UR塩釜東（4階/3LDK/68.45m²）,640000,64万円,愛知県名古屋市天白区元八事5丁目,68.45,3LDK,4,,1986,0,"""><p class=""text-sm whitespace-pre-line"">LIFULL HOME'S 住みたい街ランキング中部圏版にランクインした「岐阜駅、中村公園駅、豊橋駅、岡崎駅、新栄町駅",6,,,https://www.homes.co.jp/chintai/room/a1cf47a8cfdfbc0c347fb30d1c996156dba059bf/,0001-01-01 00:00:00
27,homes,c75b7c6ab893cfd5f518654e345cf519c383acd4,rent,追加する,10000,1万円,,0.00,3D,4,,0,0,,0,,,https://www.homes.co.jp/chintai/room/c75b7c6ab893cfd5f518654e345cf519c383acd4/,0001-01-01 00:00:00
13,homes,feab97ca2861774ac1fde833d744edd57edea7f0,rent,,50000,5万円,,0.00,3D,1,,0,0,,0,,,https://www.homes.co.jp/chintai/room/feab97ca2861774ac1fde833d744edd57edea7f0/,0001-01-01 00:00:00
9,homes,c3c023313ac42d4bd80e8d60ccc4ee8c00929c9f,rent,メゾンアイリス（1階/？-101/2LDK/50.33m²）,20000,2万円,,50.33,3D,1,,2007,0,""">平均家賃より安い(瓢箪山駅",10,,,https://www.homes.co.jp/chintai/room/c3c023313ac42d4bd80e8d60ccc4ee8c00929c9f/,0001-01-01 00:00:00
11,homes,b50186101a57da0b1ea830b753e16c3ba70915ab,rent,ボヌール幸心（1階/102/2LDK/58.1m²）,90000,9万円,,58.10,3D,1,,2010,0,"""><div><p>JR中央本線 新守山駅",5,,,https://www.homes.co.jp/chintai/room/b50186101a57da0b1ea830b753e16c3ba70915ab/,0001-01-01 00:00:00
203,homes,ea4a252cea23e0507d347b40558c5a91a1ebf700,rent,URアクアタウン納屋橋（32階/2LDK/71.27m²）,960000,96万円,愛知県名古屋市中村区名駅5丁目,71.27,2LDK,32,,2006,0,"""><div><p>名古屋市営桜通線 国際センター駅",8,,,https://www.homes.co.jp/chintai/room/ea4a252cea23e0507d347b40558c5a91a1ebf700/,0001-01-01 00:00:00
